CustomerID,Gender,Age,Region,CustomerSegment,PreferredPaymentMethod,CustomerTenure_Months,Recency_Days,PurchaseFrequency,AvgOrderValue,TotalRevenue,TotalItemsBought,TotalReturns,FavouriteCategory,CLV
CUST_0001,Male,34,Europe,Budget,Debit Card,39.1,946,5,79.87,399.35,14,0,Beauty,122.56
CUST_0002,Female,26,Asia,Mid-Range,Credit Card,57.1,476,4,425.29,1701.17,12,1,Beauty,312.82
CUST_0003,Male,50,North America,Mid-Range,Credit Card,60.1,169,5,223.21,1116.07,9,2,Beauty,178.27
CUST_0004,Male,37,Asia,Mid-Range,Debit Card,35.6,186,7,616.97,4318.77,27,0,Electronics,1455.77
CUST_0005,Male,30,Asia,Mid-Range,Bank Transfer,51.5,375,5,456.56,2282.82,13,1,Electronics,478.72
CUST_0006,Female,45,South America,Premium,PayPal,52.6,66,5,2727.76,13638.79,18,0,Books,3111.51
CUST_0007,Male,65,Africa,Mid-Range,PayPal,53.3,161,6,442.96,2657.79,14,1,Sports,548.51
CUST_0008,Male,46,North America,Mid-Range,Debit Card,56.2,1361,2,469.94,939.89,7,0,Beauty,200.69
CUST_0009,Male,30,Asia,Budget,Credit Card,35.8,731,2,167.62,335.23,7,1,Beauty,84.28
CUST_0010,Female,63,North America,Budget,Credit Card,57.4,657,1,36.76,36.76,1,0,Sports,7.69
CUST_0011,Male,52,Europe,Mid-Range,Bank Transfer,37.8,501,8,506.39,4051.09,28,3,Electronics,1044.93
CUST_0012,Male,23,South America,Mid-Range,PayPal,35.6,150,3,286.52,859.57,6,0,Beauty,289.74
CUST_0013,Male,35,Europe,Budget,Bank Transfer,30.5,296,7,95.6,669.22,19,1,Toys,244.49
CUST_0014,Male,68,North America,Budget,PayPal,42.3,533,2,184.29,368.58,6,0,Food & Grocery,104.56
CUST_0015,Female,22,North America,Mid-Range,Debit Card,57.9,199,7,572.11,4004.75,18,1,Electronics,770.72
CUST_0016,Male,64,Africa,Budget,PayPal,40.8,147,7,143.09,1001.6,23,5,Books,189.38
CUST_0017,Female,42,Asia,Budget,Bank Transfer,46.5,72,8,153.31,1226.5,31,2,Toys,276.95
CUST_0018,Female,19,Asia,Budget,Bank Transfer,59.8,250,5,79.46,397.32,15,0,Beauty,79.73
CUST_0019,Female,27,Europe,Budget,Bank Transfer,59.9,999,0,0.0,0.0,0,0,Unknown,0.0
CUST_0020,Male,47,South America,Budget,Debit Card,57.7,470,5,135.91,679.55,17,0,Toys,141.33
CUST_0021,Female,67,Asia,Budget,PayPal,53.5,36,5,147.72,738.6,18,0,Electronics,165.67
CUST_0022,Male,62,Africa,Mid-Range,PayPal,53.0,74,4,301.61,1206.43,9,0,Beauty,273.16
CUST_0023,Female,22,Europe,Premium,Bank Transfer,43.7,113,5,928.62,4643.12,10,1,Beauty,1147.49
CUST_0024,Female,50,Europe,Mid-Range,PayPal,40.4,22,8,689.8,5518.39,28,1,Beauty,1536.68
CUST_0025,Female,18,Africa,Mid-Range,Credit Card,60.0,40,5,533.47,2667.33,19,0,Toys,533.47
CUST_0026,Female,35,South America,Budget,Credit Card,41.8,418,9,129.54,1165.84,25,1,Sports,316.1
CUST_0027,Female,49,Africa,Budget,Credit Card,54.1,208,8,100.1,800.76,25,0,Electronics,177.63
CUST_0028,Female,64,South America,Mid-Range,PayPal,36.5,1,4,468.57,1874.29,9,1,Beauty,539.18
CUST_0029,Female,66,Africa,Budget,Debit Card,38.7,479,2,92.14,184.28,5,0,Electronics,57.14
CUST_0030,Female,28,Africa,Mid-Range,Debit Card,37.0,127,2,183.36,366.72,5,0,Sports,118.94
CUST_0031,Male,38,North America,Mid-Range,Debit Card,42.3,163,6,488.84,2933.01,17,1,Food & Grocery,762.73
CUST_0032,Male,43,Europe,Mid-Range,Debit Card,46.6,778,1,438.08,438.08,4,0,Fashion,112.81
CUST_0033,Female,42,Africa,Budget,Credit Card,53.4,77,3,90.07,270.22,9,1,Books,50.6
CUST_0034,Female,39,Africa,Budget,Credit Card,45.6,527,2,106.1,212.19,7,0,Beauty,55.84
CUST_0035,Female,44,Asia,Mid-Range,Bank Transfer,40.8,136,4,502.78,2011.13,15,2,Books,443.63
CUST_0036,Male,66,Europe,Budget,PayPal,51.4,103,3,57.65,172.95,6,0,Books,40.38
CUST_0037,Female,30,Asia,Mid-Range,PayPal,33.3,163,5,275.08,1375.4,14,0,Sports,495.64
CUST_0038,Male,50,Europe,Mid-Range,Debit Card,31.2,263,5,508.12,2540.6,17,2,Electronics,781.72
CUST_0039,Male,51,Asia,Premium,Credit Card,60.7,281,8,2704.37,21634.94,30,3,Books,3475.14
CUST_0040,Male,58,Africa,Budget,Debit Card,35.0,201,6,133.89,803.33,20,0,Books,275.43
CUST_0041,Male,52,Africa,Premium,Bank Transfer,33.4,109,5,2431.85,12159.26,13,0,Electronics,4368.59
CUST_0042,Male,18,North America,Mid-Range,PayPal,55.5,999,0,0.0,0.0,0,0,Unknown,0.0
CUST_0043,Female,38,Asia,Budget,PayPal,37.1,275,5,139.39,696.93,17,2,Beauty,180.34
CUST_0044,Female,65,South America,Budget,Debit Card,46.5,92,12,114.15,1369.83,35,1,Books,338.77
CUST_0045,Female,23,North America,Mid-Range,Bank Transfer,49.3,37,6,491.29,2947.75,15,2,Sports,597.92
CUST_0046,Female,45,Asia,Budget,PayPal,51.4,586,4,64.68,258.74,12,1,Electronics,52.85
CUST_0047,Female,34,Asia,Budget,Bank Transfer,55.6,148,10,106.44,1064.45,29,1,Beauty,218.24
CUST_0048,Male,22,North America,Budget,Bank Transfer,53.6,398,5,130.79,653.96,14,0,Beauty,146.41
CUST_0049,Female,48,Africa,Premium,Debit Card,28.2,861,6,1992.37,11954.2,16,1,Food & Grocery,4662.99
CUST_0050,Female,22,Asia,Mid-Range,Credit Card,34.9,510,5,249.53,1247.64,11,0,Electronics,428.99
CUST_0051,Male,55,Africa,Mid-Range,Debit Card,49.4,640,2,311.65,623.31,5,0,Beauty,151.41
CUST_0052,Female,20,North America,Budget,Credit Card,57.4,90,6,74.57,447.41,22,1,Food & Grocery,85.74
CUST_0053,Male,40,Africa,Budget,Bank Transfer,57.8,250,3,58.17,174.51,5,0,Beauty,36.23
CUST_0054,Female,54,Europe,Mid-Range,Credit Card,47.9,37,7,348.05,2436.35,20,1,Books,566.76
CUST_0055,Male,54,South America,Mid-Range,Bank Transfer,57.6,13,9,353.33,3179.93,26,1,Sports,625.69
CUST_0056,Female,27,Asia,Budget,PayPal,48.7,25,5,129.37,646.86,14,0,Beauty,159.39
CUST_0057,Female,27,South America,Mid-Range,PayPal,32.0,908,1,845.77,845.77,4,0,Fashion,317.16
CUST_0058,Male,36,Africa,Premium,PayPal,49.2,19,4,2141.37,8565.48,11,0,Electronics,2089.14
CUST_0059,Male,34,Asia,Mid-Range,Debit Card,40.3,155,3,554.2,1662.59,9,0,Beauty,495.07
CUST_0060,Male,38,Africa,Mid-Range,Debit Card,51.9,275,3,175.49,526.48,8,1,Beauty,101.44
CUST_0061,Male,31,Europe,Premium,Bank Transfer,33.4,451,3,1815.06,5445.18,8,0,Electronics,1956.35
CUST_0062,Male,26,North America,Budget,PayPal,59.4,538,4,196.27,785.07,15,0,Beauty,158.6
CUST_0063,Male,63,Asia,Mid-Range,Debit Card,36.0,173,6,437.86,2627.16,16,0,Toys,875.72
CUST_0064,Male,18,Europe,Premium,PayPal,45.2,253,5,2194.12,10970.62,15,0,Sports,2912.55
CUST_0065,Male,68,Europe,Budget,Debit Card,42.6,525,3,60.78,182.34,12,1,Beauty,42.8
CUST_0066,Female,62,Asia,Mid-Range,Credit Card,56.7,146,6,553.71,3322.25,25,2,Sports,585.94
CUST_0067,Female,30,Africa,Mid-Range,Credit Card,27.7,552,6,381.06,2286.39,15,2,Food & Grocery,825.4
CUST_0068,Male,21,Europe,Mid-Range,PayPal,29.4,311,6,320.33,1922.01,14,1,Books,719.11
CUST_0069,Female,18,South America,Mid-Range,Bank Transfer,48.0,942,4,966.34,3865.36,17,0,Beauty,966.34
CUST_0070,Female,66,Europe,Premium,Debit Card,58.2,140,4,2029.86,8119.44,13,2,Fashion,1255.58
CUST_0071,Female,57,Africa,Mid-Range,Debit Card,42.1,18,4,402.75,1611.01,10,0,Books,459.19
CUST_0072,Female,49,Africa,Budget,Credit Card,50.9,1067,4,166.66,666.63,12,0,Electronics,157.16
CUST_0073,Male,51,South America,Premium,Credit Card,32.6,54,3,1747.01,5241.04,8,1,Beauty,1607.68
CUST_0074,Female,45,Europe,Budget,Bank Transfer,39.5,147,8,68.11,544.85,19,1,Food & Grocery,155.19
CUST_0075,Male,48,Africa,Budget,Bank Transfer,39.8,307,3,32.96,98.89,3,0,Electronics,29.81
